Reading,Value,Unit
2021-08-01 00:00:00,0.00,in
2021-08-02 00:00:00,0.00,in
2021-08-03 00:00:00,0.80,in
2021-08-04 00:00:00,0.00,in
2021-08-05 00:00:00,0.00,in
2021-08-06 00:00:00,0.24,in
2021-08-07 00:00:00,0.00,in
2021-08-08 00:00:00,0.00,in
2021-08-09 00:00:00,0.00,in
2021-08-10 00:00:00,0.00,in
2021-08-11 00:00:00,0.00,in
2021-08-12 00:00:00,0.00,in
2021-08-13 00:00:00,0.00,in
2021-08-14 00:00:00,0.00,in
2021-08-15 00:00:00,0.00,in
2021-08-16 00:00:00,0.00,in
2021-08-17 00:00:00,0.00,in
2021-08-18 00:00:00,0.04,in
2021-08-19 00:00:00,0.00,in
2021-08-20 00:00:00,0.12,in
2021-08-21 00:00:00,0.00,in
2021-08-22 00:00:00,0.00,in
2021-08-23 00:00:00,0.00,in
2021-08-24 00:00:00,0.00,in
2021-08-25 00:00:00,0.00,in
2021-08-26 00:00:00,0.00,in
2021-08-27 00:00:00,0.00,in
2021-08-28 00:00:00,0.00,in
2021-08-29 00:00:00,0.00,in
2021-08-30 00:00:00,0.00,in
2021-08-31 00:00:00,0.00,in
